index, depots, plants, distance 
777,1987,7,308.2899914933093 
778,1987,8,310.64239243707283 
779,1987,9,789.7678433555675 
780,1987,10,415.0436427713373 
781,1987,11,405.3999066803192 
782,1993,1,1467.9417201157305 
783,1993,2,1467.9273742393202 
784,1993,3,71.13420878595619 
785,1993,4,302.01530513894943 
786,1993,5,305.60341678742753 
787,1993,6,300.4561505543374 
788,1993,7,303.8431074923499 
789,1993,8,305.72963765494825 
790,1993,9,790.4054434537989 
791,1993,10,408.67650416928814 
792,1993,11,399.0410603530806 
793,1995,1,1494.9826249287426 
794,1995,2,1494.9684816293006 
795,1995,3,51.29613301280757 
796,1995,4,282.0147222017082 
797,1995,5,284.4262881328648 
798,1995,6,280.2181659702401 
799,1995,7,283.7786447346442 
800,1995,8,287.59055515550097 
801,1995,9,817.5177107429374 
802,1995,10,418.7963808038415 
803,1995,11,409.2720531073606 
804,1999,1,1582.93606054517 
805,1999,2,1582.9225237168873 
806,1999,3,70.61539650691199 
807,1999,4,227.7226434307332 
808,1999,5,224.88908131134534 
809,1999,6,224.98214368361084 
810,1999,7,229.12918937690685 
811,1999,8,240.88026420801768 
812,1999,9,905.6911598866071 
813,1999,10,461.4425124513014 
814,1999,11,452.4409925392774 
815,2000,1,1568.618187428292 
816,2000,2,1568.6049452975733 
817,2000,3,64.81000649898401 
818,2000,4,229.04530032929284 
819,2000,5,227.5041318655535 
820,2000,6,226.5158690426079 
821,2000,7,230.54854629101666 
822,2000,8,240.53205492181232 
823,2000,9,892.7465342248558 
824,2000,10,448.3084773484616 
825,2000,11,439.2445070053228 
826,2017,1,1585.437137768202 
827,2017,2,1585.4224628611018 
828,2017,3,61.19953636130815 
829,2017,4,245.57176576933358 
830,2017,5,241.8849392810911 
831,2017,6,242.70600828344112 
832,2017,7,246.9153721456675 
833,2017,8,259.62913516578124 
834,2017,9,904.1480859631334 
835,2017,10,478.48279333118955 
836,2017,11,469.3944232444558 
837,2021,1,1571.052010837053 
838,2021,2,1571.037619910945 
839,2021,3,51.80290336794384 
840,2021,4,246.23261537838698 
841,2021,5,243.7468742814947 
842,2021,6,243.55619587869575 
843,2021,7,247.67017046400014 
844,2021,8,258.7662919388747 
845,2021,9,891.0256780721791 
846,2021,10,465.52364435126924 
847,2021,11,456.37636894589997 
848,2029,1,1542.3351995711841 
849,2029,2,1542.3213922847915 
850,2029,3,44.17768449787127 
851,2029,4,250.34589284371313 
852,2029,5,250.22636488812978 
853,2029,6,248.0704535945158 
854,2029,7,251.9517111610304 
855,2029,8,259.72743095353894 
856,2029,9,864.9913157285894 
857,2029,10,440.0497029260009 
858,2029,11,430.7834034874795 
859,2030,1,1549.0956935374338 
860,2030,2,1549.081932063072 
861,2030,3,47.16897221448653 
862,2030,4,246.2548515771037 
863,2030,5,245.71919711134794 
864,2030,6,243.9048372834558 
865,2030,7,247.83208249938122 
866,2030,8,256.2357609064985 
867,2030,9,871.76748188354 
868,2030,10,443.42540686395375 
869,2030,11,434.200969929543 
870,2063,1,1306.1559112290545 
871,2063,2,1306.1564849366066 
872,2063,3,347.36483049402926 
873,2063,4,380.9824120881177 
874,2063,5,397.27046017313353 
